Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Aglonas novada Grāveru pagasta bibliotēka,"Ezeru iela 21, Grāveri, Grāveru pag., Aglonas nov., LV-5655",56.06062,27.13966,Raisa Bižāne,1954,"Grāveru bibliotēka ir Aglonas novada Grāveru pagasta pašvaldības kultūras, izglītības un informācijas iestāde, kuras mērķis ir iedzīvotāju bibliotekārā, bibliogrāfiskā un informatīvā apkalpošana. Bibliotēka ir atbalsta punkts gan formālajai izglītībai, gan mūžizglītībai. ;",,,172,3919,Jā
Aglonas novada Šķeltovas pagasta bibliotēka,"Daugavpils iela 7, Šķeltova, Šķeltovas pag., Aglonas nov., LV-5653",56.02311,27.00851,Ļena Afanasjeva,1950,"Aglonas novada Šķeltovas pagasta bibliotēka ir pašvaldības izglītojoša, informatīva un kultūras iestāde, kuras mērķis ir iedzīvotāju bibliotekāra, bibliogrāfiskā un informatīva apkalpošana, kā arī iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšana, sistematizēšana, kataloģizēšana, bibliografēšana un saglabāšana. Bibliotēkas misija - būt par centru, kas veicina pastāvīgu, nepārtrauktu izglītošanos, atbalstot visu vecuma iedzīvotāju personīgo un sociālo attīstību. ; ",,,116,3138,Jā
Aglonas vidusskolas bibliotēka,"Daugavpils iela 6, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13465,26.99791,Valentīna Ondzule,1961,"Regulāri tiek papildināts bibliotēkas jaunieguvumu skaits. Ik mēnesi tiek rīkotas tematiskās izstādes, kā arī sadarbībā ar LNB tiek piedāvāta iespēja iepazīties ar ceļojošajām izstādēm. Tiek rīkoti tematiskie pasākumi, radošās darbnīcas, konkursi dažādām vecumu grupām. Darbojas informatīvais stends. Tiek praktizētas bibliotekāras stundas, apmeklētājiem ir iespēja spēlēt dažādas spēles, izmantot interneta pakalpojumus.","Apmeklētāju apkalpošana katru dienu līdz 15:30;Katra mēneša pēdējā piektdiena- metodiskā dien, spodrības diena.",Jā,243,7176,Jā
Aiviekstes pagasta bibliotēka,"1. maija iela 6, Kriškalni, Aiviekstes pag., Pļaviņu nov., LV-5120",56.62157,25.72094,Kristīne Rulle,1978,"Aiviekstes pagasta bibliotēka veic pasaules kultūras mantojuma iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un izmantošanu. Iesaista bibliotēkas lietotājus lasītveicināšanas pasākumos. Nodrošina daudzveidīgu brīvā laika pavadīšanas iespējas.",,Jā,346,4936,Jā
Aizkraukles novada vidusskolas bibliotēka,"Lāčplēša iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.6004,25.26115,Zane Sirmace- Liedskalniņa,2016,,,,805,62014,Jā
Aizkraukles pagasta bibliotēka,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61495,25.22474,Aija Melne,1923,"Bibliotēka ar kvalitatīva krājuma un informācijas tehnoloģiju palīdzību veicina vietējās sabiedrības pašizglītošanos, garīgo attīstību. Bibliotēka pagastā ir kultūras un informācijas centrs.",Pārtraukums no 12:00 līdz 13:00,,192,8681,Jā
Aizkraukles pagasta sākumskolas bibliotēka,"Kalna iela 6, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61614,25.21936,,,,,,,0,
Aizkraukles pilsētas bibliotēka,"Lāčplēša iela 3, Aizkraukle, Aizkraukles nov., LV-5101",56.60104,25.25588,Valentīna Laizāne,1961,"Aizkraukles pilsētas bibliotēka ir kultūras, izglītības un informācijas iestāde, kuras galvenais uzdevums ir veidot bibliotēkas krājumu un ar personāla un tehnisko līdzekļu palīdzību veicināt tā izmantošanu informacionālajā, pētniecības, izglītības vai izklaides vajadzībām. ;Aizkraukles pilsētas bibliotēka ir Aizkraukles novada pašvaldības iestāde, kura veic arī reģiona galvenās bibliotēkas funkcijas un ir metodiskais centrs 20 reģiona pašvaldības bibliotēkām un 12 skolu bibliotēkām.;","Mēneša pēdējā ceturtdiena - spodrības diena.;Jūnijā, jūlijā un augustā bibliotēka sestdienās slēgta;",Jā,2402,66206,Jā
Aizkraukles Profesionālās vidusskolas bibliotēka,"Jaunceltnes iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.60739,25.25801,Valentīna Truksne,1978,,,Jā,,10651,
Aizkraukles Vakara (maiņu ) vidusskola,"Gaismas iela 4A, Aizkraukle, Aizkraukles nov., LV-5101",56.59913,25.24689,Aina Mieze,,,,Jā,103,5657,Jā
Aizputes novada Cīravas pagasta bibliotēka,"Gaismas, Cīrava, Cīravas pag., Aizputes nov., LV-3453",56.73696,21.38723,Anita Tuleiko,1946,"Cīravas pagasta bibliotēka ir viena no vadošajām pagasta kultūras, izglītības un informācijas nesējas un uzglabāšanas iestādēm, kura sniedz pakalpojumus visām iedzīvotāju kategorijām. Daudzus gadus bibliotēkas darbības prioritāte ir darbs ar pirmsskolas un skolas vecuma bērniem un jauniešiem, kā sadarbības partnerus piesaistot 3 vietējās izglītības iestādes. Ilgstoši piedalāmies projektā „Bērnu, jauniešu un vecāku žūrija”, no 2017. gada esam projekta „Grāmatu starts” dalībnieki. Bibliotēka realizē izzinošu un radošu pasākumu ciklus bērniem un jauniešiem visām vecuma grupām (dabas projekti (Putnu vērošanas dienas), mākslas izstādes un vizuālās mākslas stundas, droša interneta dienas, Ziemeļvalstu bibliotēku nedēļa, Dzejas pārgājieni dabā). Pozitīva un radošas sadarbība ar senioru kopu (tikšanās ar grāmatu autoriem, Baltā galdauta svētki, radošās darbnīcas, rokdarbu pulciņš). Sadarbībā ar Cīravas pagasta attīstības biedrību 2017. gadā esam realizējuši projektu „Ej dabā un lasi!” , iekārtojot 5 brīvdabas lasītavas Cīravas pagasta dabas takās, kā arī piedāvājot brīvdabas bibliotēkas pasākumus pagasta iedzīvotājiem un tūristiem sezonas laikā.",Pusdienas pārtraukums no 12.00 līdz 13.00.;Spodrības diena - katra mēneša pēdējā piektdienā.;Vasaras periodā - no 1.jūnija līdz 31.augustam bibliotēka sestdienās slēgta.,Jā,266,6935,Jā
Aizputes novada Kalvenes pagasta bibliotēka,"Skolas iela 21, Kalvene, Kalvenes pag., Aizputes nov., LV-3443",56.60512,21.73762,Inta Ruduka,1939,"Bibliotēka ir Kalvenes pagasta pašvaldības kultūras centrs, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam, tai skaitā arī Kalvenes pamatskolas skolēniem un citiem interesentiem. Veicina pagasta sabiedrības izaugsmi un piedalās mūžizglītības procesā. Bibliotēka ir vietējās sabiedrības informācijas aprites vieta. ;Lai sekmētu tradicionālās kultūras vērtību tālāku izzināšanu  un saglabāšanu pagasta kultūras iestādēs un  atzīmējot bibliotēkas pastāvēšanas 70 gadadienu, izveidota prezentācija: Kalvenes bibliotēka laiku lokos no 1946.gada līdz 2016.gadam.",Bibliotēka strādā bez pusdienas pārtraukuma;Katra mēneša pēdējā piektdiena : Spodrības diena,,314,7857,Jā
Aizputes novada Kalvenes pamatskolas  bibliotēka,"Skolas iela 1, Kalvene, Kalvenes pag., Aizputes nov., LV-3443",56.60402,21.7303,,1922,,,,120,4388,
Aizputes pagasta bibliotēka,"Krustceļi, Rokasbirze, Aizputes pag., Aizputes nov., LV-3456",56.71273,21.55744,Sarmīte Štrausa,1935,,,,102,3070,
Aizputes pagasta pamatskolas  bibliotēka,"Skola, Rokasbirze, Aizputes pag., Aizputes nov., LV-3456",56.71242,21.55469,Ērika Tiļuga,,,,,74,5490,Jā
Aizputes pilsētas bibliotēka,"Atmodas iela 24, Aizpute, Aizputes nov., LV-3456",56.71843,21.60476,Irēna Grundmane,1921,"Bibliotēkas efektīva līdzdalība kultūras,izglītības komunikāciju sfērā,kultūrvēsturiskā mantojuma saglabāšana, lietotāju izglītošana informācijas tehnoloģiju izmantošanas pamatzināšanu apguvē.","Spodrības diena katra mēneša pēdējā sestdiena.;Vasaras mēnešos-jūnijā,jūlijā, augustā sestdienās bibliotēka nestrādā.",,1047,22464,Jā
Aizputes vidusskolas bibliotēka,"Ziedu iela 7, Aizpute, Aizputes nov., LV-3456",56.7204,21.60999,Inese Greiere,1921,,,Jā,601,37169,Jā
Aizupes pamatskolas bibliotēka,"Aizupes skola, Tušķi, Līvbērzes pag., Jelgavas nov., LV-3003",56.65204,23.62853,Aļona Nazarova,,"Mūsu bibliotēkas galvenais mērķis: būt par neatņemamu mācību procesa un informācijas apguves sastāvdaļu, kas sekmētu skolēnu un skolotāju kompetences veidošanu!",,,353,8887,
