Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
Jaunlutriņu pagasta bibliotēka,"Upes iela 4, Jaunlutriņi, Jaunlutriņu pag., Saldus nov., LV-3876",56.82743,22.40618,Aiga Balandīna,1950,"Nodrošināt visiem bibliotēkas lietotājiem brīvu informācijas saņemšanu, izmantojot bibliotēkas krājumu, SBA un internetā pieejamos resursus. Pilnveidot mācību un darba kvalifikāciju un brīvā laika pavadīšanu, veidot kulturālu sabiedrību. Jaunlutriņu bibliotēka veic publiskās bibliotēkas funkcijas.","Metodiskais laiks- otrdien, trešdien, ceturtdien, piektdien 12:00- 12:30; sestdien 14:00- 15:00.;Pusdienlaiks- otrdien, trešdien, ceturtdien, piektdien 12:30- 13:00.;Mēneša pēdējā trešdiena - metodiskā diena.",Jā,273,5171,
Jaunlutriņu pagasta Ošenieku bibliotēka,"Ošenieku iela 3-9, Ošenieki, Jaunlutriņu pag., Saldus nov., LV-3876",56.80972,22.28404,Aiga Balandīna,1955,"Bibliotēka nodrošina visiem lietotājiem brīvu, neierobežotu dažāda veida informācijas saņemšanu kultūras, izglītības, sociālās un citās jomās. Nodrošina krājumu atbilstošu lietotāju vajadzībām un pieprasījumam izglītības attīstībā un mūžizglītībā, kā arī pieeju uzkrātā kultūras mantojuma izmantošanā.",,,174,6102,Jā
Jaunlutriņu pamatskolas bibliotēka,"Muižas iela 1, Jaunlutriņi, Jaunlutriņu pag., Saldus nov., LV-3876",56.82934,22.4018,Ilze Lāce,,,,,77,7103,
Jaunmārupes pamatskolas bibliotēka,"Mazcenu aleja 4A, Jaunmārupe, Mārupes nov., LV-2166",56.87957,23.94897,Zinaida Spāde,2005,,Pusdienlaiks no 12.30 līdz13.00,Jā,790,26466,Jā
Jaunmuižas pamatskolas bibliotēka,"Jaunmuiža, Skrundas pag., Skrundas nov.",56.61533,22.07061,,,,,,27,4469,Jā
Jaunogres vidusskolas bibliotēka,"Mālkalnes prospekts 43, Ogre, Ogres nov., LV-5001",56.82457,24.59407,Jeļena Ballode,1972,izglītības  iestāde,,Jā,653,36366,
Jaunpiebalgas novada Jaunpiebalgas pagasta bibliotēka,"Gaujas iela 4, Jaunpiebalga, Jaunpiebalgas pag., Jaunpiebalgas nov., LV-4125",57.1807,26.05402,Baiba Logina,1926,"Jaunpiebalgas pagasta bibliotēka ir moderna informācijas, kultūras un izglītības iestāde, kas apkalpo un sniedz informāciju, apkalpo un apmāca lasītājus, nodrošina IT pakalpojumus, popularizē literatūru.",Vasarās no 1.jūnija līdz 31.augustam sestdienās slēgts,Jā,711,13388,Jā
Jaunpiebalgas novada Zosēnu pagasta bibliotēka,"Zosēni, Zosēnu pag., Jaunpiebalgas nov.",57.16527,25.84497,Irene Prīse,1949,"galvenie bibliotēkas darbības virzieni:;regulāri papildināt bibliotēkas fondu, preses izdevumus;apmainīt grāmatas un preses izdevumus;interneta izmantošana;izstāžu un pasākumu organizēšana;novadpētniecības materiālu vākšana un to noformēšana",,,145,5173,Jā
Jaunpiebalgas vidusskolas bibliotēka,"Gaujas iela 41, Jaunpiebalga, Jaunpiebalgas pag., Jaunpiebalgas nov., LV-4125",57.16736,26.01889,Vēsma Johansone,1946,,,,452,11412,
Jaunpils pagasta bibliotēka,"Jaunpils pils, Jaunpils, Jaunpils pag., Jaunpils nov., LV-3145",56.7306,23.02159,Inga Papendika,1890,"Jaunpils pagasta bibliotēka ir pašvaldības struktūrvienība, kas iekļauta pašvaldības aģentūras “Jaunpils” sastāvā.;Bibliotēka piedāvā brīvpieejas grāmatu krājumu, alfabētisko kartīšu un elektronisko katalogus, datoru izmantošanu, pastāvīgo un bezvadu internetu,  novadpētniecības materiālus, 29 nosaukumu preses izdevumus, SBA, dokumentu drukāšanu, kopēšanu, skenēšanu, iesiešanu un laminēšanu, pasākumus un izstādes dažādām mērķauditorijām.;Bibliotēka organizē grāmatu un literatūru popularizējošus pasākumus bērniem un pieaugušajiem, dodot iespēju tikties ar rakstniekiem un dzejniekiem klātienē; sadarbojas ar Jaunpils novada domes Jaunatnes lietu darbiniekiem, kopā organizējot dažādus starppaaudžu sadarbības un pieredzes apmaiņas veicināšanas pasākumus.;2017.gadā bibliotēka akreditēta otro reizi.;",,,278,9503,Jā
Jaunpils vidusskolas bibliotēka,"Jaunpils vidusskola, Jaunpils, Jaunpils pag., Jaunpils nov., LV-3145",56.73152,23.00723,Jānis Liepiņš,1953,"2017,g. Jaunpils vsk. bibliotēkā bija 321 lasītājs - skolnieks, 36 - pedagogi un 6tehniskie darbinieki. Ir nodrošināts interneta pieslēgums, 7 lasītāju vietas. Veikta bibliotēkas pārkārtošana, norakstītas vecās, nolietotās grāmatas. Pilnībā nodrošināts sekmīgs mācību darbs - ir visas nepieciešamās mācību grāmatas, darba burtnīcas, skolotājiem sagādāti visi prasītie metodiskie materiāli. Iegādātas spēles gan pagarinātajai grupai, gan visām klasēm. Daudz izziņas materiālu. ","Pārējās nedēļas dienās - pēc stundām, ja nepieciešams",,312,10077,Jā
Jaunsātu pagasta bibliotēka,"Abavnieki, Abavnieki, Jaunsātu pag., Tukuma nov., LV-3128",56.97376,22.92922,Aija Tišlere,1948,"Bibliotēka ir Jaunsātu pagasta kultūras, izglītības,informācijas iegūšanas un pašizglītošanās  iestāde, kas sniedz bibliotekāros, bibliogrāfiskos un informatīvos pakalpojumus un nodrošina Latvijas un citu tautu kultūras mantojuma uzkrāšanu, sistematizēšanu un saglabāšanu kā arī šīs informācijas publisku pieejamību un izmantošanu",Katru darba dienu izņemot piektdienu no 12:00 līdz 13:00 pusdienas laiks,,135,10876,
Jaunsātu pamatskolas bibliotēka,"Jaunsātu skola, Abavnieki, Jaunsātu pag., Tukuma nov., LV-3128",56.97224,22.93387,Linda Dudko,," ;Bibliotēka iepērk mācību grāmatas, metodiskos un uzskates materiālus skolotājiem un skolēniem.Izsniedz daiļļiteratūru.;",,,,1726,
Jaunsilavas pamatskolas bibliotēka,"Jaunsilavas iela 1, Jaunsilavas, Turku pag., Līvānu nov., LV-5316",56.39021,26.15929,"Dace Zvirbule, Liene Kapača,Zaiga Ližbovska",1989,,,,182,5215,
Jaunstrūžānu pamatskolas bibliotēka,"Miera iela 12, Strūžāni, Stružānu pag., Rēzeknes nov., LV-4643",56.69519,27.23659,Anna Esta,1962,Skolēnu apgāde ar mācību grāmatām,,,68,1338,Jā
Jaunsvirlaukas pagasta Staļģenes bibliotēka,"Skolas iela 2, Staļģene, Jaunsvirlaukas pag., Jelgavas nov., LV-3031",56.57157,23.96104,Liena Blūma,,"Staļģenes bibliotēka nodrošina pagasta iedzīvotājiem brīvu pieeju dažādiem informācijas resursiem, sniedz atbalstu visa veida izglītībai un piedāvā saturīgu brīvā laika pavadīšanas iespēju.",Pusdienas pārtraukums 12.00- 13.00;;Trešdiena- metodiskā diena.,Jā,510,9103,Jā
Jāzepa Mediņa Rīgas Mūzikas vidusskolas bibliotēka,"Stabu iela 10 k-4, Rīga, LV-1010",56.95829,24.12324,Dace Morica,1927,"Kā mūzikas vidusskolas struktūrvienība bibliotēka nodrošina mūzikas vidusskolas darbību:; Izglītības programmu apgūšanu un audzēkņu sagatavošanu studijām augstskolās, ;mūziķu  profesionālo izaugsmi un aktīvu koncertdarbību. Bibliotēka orientēta uz ;kvalitatīvu un mūsdienīgu informācijas pakalpojumu sniegšanu un izglītības; papildināšanas iespējām mūža garumā. Bibliotēka ir datorizēta un pieslēgta internetam.; Bezvadu internets pieejams kā pedagogiem, tā audzēkņiem.",,,,66028,
Jāzepa Vītola Latvijas Mūzikas akadēmijas bibliotēka,"Krišjāņa Barona iela 1, Rīga, LV-1050",56.94967,24.11756,Evita Stankeviča,1920,,Nošu nodaļa darba dienās strādā no 8:30-17:00,,1298,216919,Jā
Jēkabpils 2. vidusskolas bibliotēka,"Jaunā iela 44, Jēkabpils, LV-5201",56.49402,25.86026,Marina Ļitvinova,1920,,,,650,33784,Jā
Jēkabpils 3. vidusskolas bibliotēka,"Slimnīcas iela 5, Jēkabpils, LV-5202",56.5065,25.8889,Skaidrīte Krastiņa,1960,Nodrošināt skolas izglītojošo darbību ar tai nepieciešamo informāciju un pilnveidot tās lietotāju attiecīgās informācijas ieguves pamatprasmes,,,640,36375,
Jēkabpils Agrobiznesa koledžas Barkavas struktūrvienības bibliotēka,"Dzirnavu iela 1, Barkava, Barkavas pag., Madonas nov., LV-4834",56.72341,26.60623,Maija Opincāne,,,,Jā,240,12108,
Jēkabpils Agrobiznesa koledžas bibliotēka,"Pasta iela 1, Jēkabpils, LV-5201",56.49616,25.86852,Anita Baltgaile,1927,,Pusdienu pārtraukums 12:00 - 12:30 (pirmdiena-ceturtdiena). ,Jā,512,18778,Jā
Jēkabpils Galvenā bibliotēka,"Rīgas iela 212, Jēkabpils, LV-5202",56.50688,25.86438,Zinaīda Rabša,1924,"Iekļauties tālākā sabiedrības informatizācijas procesā, rūpēties par kultūras mantojuma ;saglabāšanu un nodrošināt mūžizglītības iespējas visiem sabiedrības locekļiem, neatkarīgi;no viņu finansiālajām iespējām, atšķirībām fiziskajā un izglītības jomā.","Lasītājus neapkalpo katra mēneša pēdējā dienā - spodrības dienā, ;jūlijā, augustā sestdienās;;Bērnu literatūras nodaļa lietotājus apkalpo darbadienās;no 10.00-18.00, sestdienās no 10.00-16.00",Jā,2253,57621,Jā
Jēkabpils novada Ābeļu bibliotēka,"Aldaunes iela 13, Brodi, Ābeļu pag., Jēkabpils nov., LV-5212",56.46995,25.87848,Ineta Survillo,1951,"Bibliotēkas  darbība vērsta uz plānveidīgu, nepārtrauktu attīstību ar mērķi  veikt pasaules kultūras mantojuma – iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu. Bibliotēka veic kultūras, informācijas, izglītības, sociālās un izklaidējošas funkcijas. Bibliotēka ir zināšanu ieguves, izklaides un atpūtas vieta pašvaldībā.;Bibliotēka šobrīd ir vienīgā vieta, kur jebkurš sabiedrības loceklis bez maksas var lasīt grāmatas, iepazīties ar jaunākajiem preses izdevumiem, sameklēt sev vajadzīgo informāciju internetā. Informācijas iegūšana ir galvenais, kas ir jānodrošina bibliotēkai, ko bibliotēka sekmīgi arī realizē.;",pusdienas pārtraukums: pirmdiena - trešdiena 12.00 - 12.30,Jā,246,6508,Jā
Jēkabpils novada Dignājas bibliotēka,"Kamenes, Vandāni, Dignājas pag., Jēkabpils nov., LV-5215",56.33253,26.15889,Dace Grigorjeva,1949,"Dignājas bibliotēka ir informācijas un izglītības centrs pagasta iedzīvotājiem, kurs dot iespēju piekļūt visai informācijai, kura atrodas bibliotēkā. Bibliotēkas pakalpojumi ir pieejami visiem apmeklētājiem. ",,Jā,181,4308,Jā
Jēkabpils novada Dunavas bibliotēka,"Dunavas skola, Dunava, Dunavas pag., Jēkabpils nov., LV-5216",56.21106,26.20575,Sandis Ruļuks,1948,"Nodrošināt lietotāju informacionālās, mūžizglītības, kultūras un saskarsmes vajadzības, izmantojot bibliotēkas krājumu, mūsdienīgas tehnoloģijas un informācijas resursus. Rūpēties par kultūras mantojuma saglabāšanu un attīstību.",,,229,7439,Jā
Jēkabpils novada Kalna bibliotēka,"Atvari, Vidsala, Kalna pag., Jēkabpils nov., LV-5220",56.34108,25.85315,Maruta Orbidāne,1946,"Bibliotēkas darbības mērķis ir iekļauties tālākā sabiedrības informatizācijas procesā, rūpēties par kultūras mantojuma, it īpaši mūsu izcilā novadnieka rakstnieka Aleksandra Grīna piemiņas saglabāšanu un nodrošināt mūžizglītības iespējas visiem sabiedrības locekļiem, neatkarīgi no viņu finansiālajām iespējām, atšķirībām fiziskajā un izglītības jomā.;;;;;;",Pusdienlaiks no 12:00 - 12:30 ,,136,5765,Jā
Jēkabpils novada Leimaņu bibliotēka,"Mežvijas, Mežgale, Leimaņu pag., Jēkabpils nov., LV-5223",56.2787,25.85546,Līga Lācīte,1947,"Leimaņu pagasta bibliotēka ir kultūras un informācijas centrs pagasta iedzīvotājiem. Bibliotēkas mērķis – sniegt ikvienam bibliotēkas lietotājam kvalitatīvus bibliotekāros un informatīvos pakalpojumus, veicināt viņu izglītības iespējas un saturīgu brīvā laika izmantošanu.;;;;;",Trešdienās Leimaņos: 9:00 - 15:00,Jā,142,8532,Jā
Jēkabpils novada Liepu bibliotēka,"Liepas 5-2, Liepas, Zasas pag., Jēkabpils nov., LV-5221",56.25325,26.02152,Ināra Valaine,1970,"Būt par Jēkabpils novada vienuvienu no informācijas centriem, kas veicina pastāvīgu, nepārtrauktu izglītošanos ( visa vecuma iedzīvotājiem), apzināt un saglabāt kultūras mantojumu. Ar tehnoloģiju iespējām un fonda krājumu - veidot informācijas un kultūrvides telpu.",,,63,3219,Jā
Jēkabpils novada Mežzemes bibliotēka,"Zītari, Dubulti, Kalna pag., Jēkabpils nov., LV-5220",56.30644,25.77058,Gunta Jaunzeme,1961,"Bibliotēkas darbības mērķis ir iekļauties tālākā sabiedrības informācijas procesā, rūpēties par kultūras mantojuma saglabāšanu un nodrošināt mūžizglītības iespējas visiem sabiedrības locekļiem, neatkarīgi no viņu finansiālajām iespējām, atšķirībām fiziskajā un izglītības jomā. ",Pusdienlaiks  12:00 - 12:30,,111,3555,Jā
Jēkabpils novada Rubeņu bibliotēka,"Svīres, Rubeņi, Rubenes pag., Jēkabpils nov., LV-5229",56.12874,25.99469,Agra Ozoliņa,1947,"Bibliotēka ir pašvaldības kultūras, izglītības un informācijas iestāde, kas apkalpo vietējā pagasta iedzīvotājus, nodrošina lietotājiem brīvu literatūras un informācijas saņemšanu, saskaņā ar apstiprinātajiem ""Bibliotēkas lietošanas noteikumiem"".",Pārtraukums no 12.00 - 12.30,Jā,187,5962,Jā
Jēkabpils novada Slates bibliotēka,"Slates pamatskola, Slate, Rubenes pag., Jēkabpils nov., LV-5229",56.20181,25.99908,Līga Zālīte,1946,"Bibliotēka ir kā kultūras, izglītības un saskarsmes vieta visiem interesentiem.;Misija : Informēt, izglītot, izklaidēt.",pusdienlaiks 12:00-12:30,,81,4565,Jā
Jēkabpils novada Tadenavas bibliotēka,"Līdumi 2, Dunavas pag., Jēkabpils nov., LV-5216",56.18204,26.11595,Aina Timofejeva,1965,"Tadenavas bibliotēka ir maza lauku bibliotēka. Tā ir vieta, kur lauku cilvēkam rast garīgu mierinājumu grāmatās, ielūkoties preses izdevumos, padziļināt savas zināšanas un redzesloku. Tas ir kultūras centrs, vieta, kur meklēt informāciju internetā vai vienkārši garā veldzēties.",,,40,3043,Jā
Jēkabpils novada Zasas  bibliotēka,"Zaļā iela, Zasa, Zasas pag., Jēkabpils nov.",56.29329,25.97979,Inese Grauze,1946,Bibliotēka ir informācijas un komunikācijas centrs.Tā piedāvā brīvu iespēju piekļūt vispusīgai informācijai,,Jā,75,5448,
Jēkabpils pamatskolas bibliotēka,"Rīgas iela 200A, Jēkabpils, LV-5202",56.50472,25.86564,Inga Zvirbule,2002,,Katra mēneša pirmā trešdiena ir sanitārā diena.,,813,17007,Jā
Jēkabpils pilsētas bibliotēka,"Vecpilsētas laukums 3, Jēkabpils, LV-5201",56.49765,25.86627,Renāte Lenša,1921,"Nodrošināt Jēkabpils pilsētas iedzīvotājiem universālu informācijas pakalpojumu, vienlīdzīgas iespējas piekļut informācijai, līdzvērīgu un kvalitatīvu piekļuvi informācijas resursiem, sniegt ieguldījumu informācijas un zināšanu sabiedrībā, veicināt iedzīvotāju izglītības un zināšanu atbilstību darba tirgum un veidojošās informācijas sabiedrības prasībām.",,,3602,71092,Jā
Jēkabpils vakara vidusskolas bibliotēka,"Palejas iela 32, Jēkabpils, LV-5202",56.50554,25.86966,Anita Antonova,,,Viena sestdiena mēnesī,Jā,188,16743,Jā
Jēkabpils Valsts ģimnāzijas bibliotēka,"Rūdolfa Blaumaņa iela 27, Jēkabpils, LV-5201",56.49938,25.85478,Anita Grigaloviča,,,,,682,38391,Jā
Jelgavas 1. internātpamatskolas - attīstības centra bibliotēka,"Institūta iela 4, Jelgava, LV-3004",56.66378,23.74667,Ligita Vecuma- Veco,1961,,,Jā,331,8337,Jā
Jelgavas 2. internātpamatskolas bibliotēka,"Filozofu iela 50, Jelgava, LV-3001",56.64246,23.70048,Evita Arčugova,,,,,,9589,
Jelgavas 2. pamatskolas bibliotēka,"Sarmas iela 2, Jelgava, LV-3001",56.64565,23.70904,Gundega Zēgnere,1979,Pamatizglītības mazākumtautību programma.;Pirmsskolas izglītības mazākumtautību programma.;Speciālās pamatizglītības mazākumtautību programma izglītojamajiem ar mācīšanās traucējumiem.,,,,38176,
Jelgavas 3.sākumskolas bibliotēka,"Uzvaras iela 10, Jelgava, LV-3001",56.65506,23.72405,,1994,,,,652,19319,Jā
Jelgavas 4. sākumskolas bibliotēka,"Pulkveža Oskara Kalpaka iela 34, Jelgava, LV-3001",56.63923,23.71862,Mārīte Kreitenberga,,"Skolas bibliotēkas darba mērķis ir aktīva līdzdalība skolas licencēto un akreditēto izglītības programmu īstenošanā, atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām. Svarīgi radīt skolēnos vēlmi iepazīties ar grāmatu, prast atrast informāciju, atlasīt to un prast izmantot to pēc vajadzības. Sniegt pedagogiem atbalstu mācību procesā ar bibliotēkas krājumu saturu, konsultēt par iespējām strādāt jaunā informācijas vidē.",,,1228,22251,Jā
Jelgavas 4. vidusskolas bibliotēka,"Akmeņu iela 1, Jelgava, LV-3004",56.66255,23.75725,Inta Brantevica ,1964,"Darbība: ;Bibliotēka - izglītojoša un kultūras institūcija, struktūrvienība, kura veic Bibliotēku likumā noteiktās funkcijas un ir reģistrēta šajā likuma noteiktajā kārtībā.;Bibliotēkas darbības mērķi:;1. līdzdalība skolas licenzēto un akreditēto izglītības programmu īstenošanā atbilstoši valsts izglītības standartiem un mācību priekšmetu programmām;;2.iekļaušanās kopējā bibliotēku informācijas sistēmā.;Skolas bibliotēku darbībaspamatvirzieni:;1.izglītības programmu īstenošanai nepieciešamo mācību un citu dokumentu komplektēšana, uzskaite,sistematizēšana, kataloģizēšana, klasificēšana un uzglabāšana;;2.skolotāju un skolēnu informacionālā un bibliotekārā apkalpošana.;Bibliotēkas galvenie uzdevumi:;1.nodrošināt bibliotēkas lietotājiem brīvu pieeju dažāda veida informācijai;;2. attīstīt skolēnu informācijas atrašanas, iegūšanas, kritiskas izvērtēšanas un lietošanas prasmes;;3.veicināt skolēna pastāvīgās mācīšanās prasmes un iemaņas;;4.īstenot skolēnu lasīšanas veicināšanas programmas un projektus;;atbalstīt skolotāju mācību priekšmetu programmu īstenošanā un audzināšanas darbā.;;Bibliotēkas lietotājs varbūt fiziska persona - skolas pedagogi, skolnieki, absolventi skolas darbinieki un skolēnu vecāki, kuri izmanto skolas pakalpojumus.;",,Jā,1501,45297,
Jelgavas 5. vidusskolas bibliotēka,"Aspazijas iela 20, Jelgava, LV-3001",56.65045,23.69736,Kristīna Timkiva,1972,"Lasītāju apkalpošana; bibliotēkas fonda komplektēšana, uzskaite, apstrāde, uzglabāšana, kataloģizēšana un klasificēšana; bibliogrāfisko un bibliotekāro pakalpojumu sniegšana.",,,,31968,Jā
Jelgavas 6. vidusskolas bibliotēka,"Loka maģistrāle 29, Jelgava, LV-3004",56.67041,23.75008,Larisa Holsta,1978,"Izglītība, piecgadīgo un sešgadīgo audzēkņu grupas",,,731,23823,Jā
Jelgavas Amatu vidusskolas bibliotēka,"Akadēmijas iela 25, Jelgava, LV-3001",56.64658,23.73104,Valentīna Šustere-Rudevica,1948,,,Jā,785,7696,Jā
"Jelgavas bērnu bibliotēka ""Zinītis""","Lielā iela 15, Jelgava, LV-3001",56.65113,23.72115,Baiba Karčevska,1952,"Bibliotēkā pieejams plašs bērnu un jauniešu daiļliteratūras un nozaru literatūras klāsts latviešu, krievu, angļu un vācu valodās. Līdziņemšanai pieejami multfilmu un ģimenes filmu DVD un klausāmgrāmatas CD formātā. Bibliotēkas lasītavā pieejama bezmaksas datortehnika, internets (tai skaitā wi-fi), kā arī datu bāzes. Savukārt lasīšanai uz vietas pieejami dažādi bērnu un jauniešu žurnāli, laikraksti un nozaru literatūra. Bibliotēkā iespējams pieteikt tematiskas ekskursijas. ","Vasaras mēnešos (01.06. - 31.08.) bibliotēkā mainīts darba laiks:;;Bibliotēka atvērta darba dienās 10:00 - 18:00, ;Slēgta - sestdienās un svētdienās;;Mēneša pēdējā piektdienā bibliotēka slēgta - spodrības diena!;",,3344,24854,Jā
Jelgavas Miezītes bibliotēka,"Dobeles šoseja 100A, Jelgava, LV-3003",56.65383,23.65985,Jolanta Treigute,1947,"Miezītes bibliotēka ir Jelgavas pilsētas pašvaldības informācijas, kultūras un izglītības iestāde, viena no 3 filiālbibliotēkām, kuras darbību koordinē Jelgavas Zinātniskā bibliotēka. Bibliotēka izveidojusies par sava mikrorajona iedzīvotāju tikšanās vietu: regulāri tiek izstādītas Jelgavas mākslinieku darbu izstādes, notiek dažādi pasākumi un aktivitātes, ja nepieciešams, bibliotēka pārtop par vēlēšanu iecirkni.;;",Mēneša pēdējā piektdiena- Spodrības diena,,926,16353,Jā
Jelgavas mūzikas vidusskolas bibliotēka,"Lapskalna iela 2, Jelgava, LV-3007",56.65771,23.71948,Inese Sīle,1949,"JMV bibliotēka nodrošina skolas audzēkņus un pedagogus ar mācībām nepieciešamajiem nošizdevumiem, grāmatām, DVD un skaņu ierakstiem, kā arī piekļuvi  internetam.",,Jā,135,39112,Jā
Jelgavas novada Neklātienes vidusskolas bibliotēka ,"Pasta iela 37, Jelgava, LV-3001",56.65118,23.72304,Ilva Logina,," Skolas bibliotēkas administratīvās telpas atrodas Jelgavā, Pasta ielā 37, 303.kabinetā. Jelgavas novada Neklātienes vidusskolas bibliotekāre (0,3 slodzes amatu savienošanas kārtībā) koordinē mācibu grāmatu iegādi, sadali un norakstīšanu pa konsultāciju punktiem:;Svētes konsultāciju punkts atrodas Svētes pamatskolas telpās Svētes pagastā Vilces ielā 6. Svētes konsultāciju punktā tiek realizēta tālmācība kā mācību metode.;Šķibes konsultāciju punkts atrodas Šķibes pamatskolas telpās Glūdas pagastā Skolas ielā 1.;Mācību grāmatas tiek izsniegtas skolēniem arī individuāli.;Bibliotēkas prioritāte - e-grāmatu iepirkšana un izmantošana tālmācībā no 5. līdz 12.klasei;Bez tam bibliotekārs:;1. Sadarbojas ar KP vadītājiem mācību grāmatu iegādes procesā.;2. Veic darbu ar bibliotēkas dokumentāciju.;3. Apkopo datus gada atskaitēm.;4. Apkalpo KP skolotājus un skolēnus, tālmācības skolēnus ar e-klases starpniecību",,,593,4329,
Jelgavas Pārlielupes bibliotēka,"Loka maģistrāle 17, Jelgava, LV-3004",56.67044,23.75538,Aiga Volkova,1948,"Grāmatu, DVD un periodikas izsniegšana lasīšanai uz vietas un mājās, dokumentu melnbaltā un krāsu kopēšana un datorizdruka, dokumentu skenēšana, datoru un interneta izmantošana, uzziņu meklēšana, konsultēšana par interneta resursiem, bibliotēkas krājumu un datu bāzēm. Aktivitāšu organizēšana un to atspoguļošana bibliotēkas emuārā, twitterī un  portālā draugiem.lv. Drukātā un elektroniskā informācijas krājuma nodrošināšana un pārvaldīšana mikrovides sabiedrības izglītības, izklaides un aktuālām informācijas vajadzībām. Lasītāju iesaiste izstāžu, radošo darbnīcu un aktivitāšu organizēšanā.","Katra mēneša pēdējā piektdienā ir Spodrības diena, kad bibliotēka ir slēgta. No 1.jūnija līdz 31.augustam bibliotēka slēgta pirmdienās.",,2048,28562,
Jelgavas pilsētas bibliotēka,"Akadēmijas iela 26, Jelgava, LV-3001",56.64649,23.73015,Lāsma Zariņa,1920,"Jelgavas pilsētas bibliotēka ir lielākā publiskā bibliotēka Zemgalē, Jelgavas pašvaldības kultūras, izglītības un informācijas iestāde, Jelgavas un Ozolnieku novadu bibliotēku metodiskais centrs","Mēneša pēdējā piektdiena - spodrības diena, bibliotēka slēgta. Vasarā darba laiks tiek mainīts.",,4596,99414,Jā
Jelgavas Spīdolas Valsts ģimnāzijas bibliotēka,"Mātera iela 30, Jelgava, LV-3001",56.64741,23.72085,Lita Vēvere,1990,,,,630,27381,Jā
Jelgavas Tehnikuma bibliotēka,"Pulkveža Oskara Kalpaka iela 37, Jelgava, LV-3001",56.63967,23.72056,Janīna Rudzīte,1969,,,Jā,764,16860,Jā
Jelgavas Tehnoloģiju vidusskolas bibliotēka,"Meiju ceļš 9, Jelgava, LV-3007",56.65708,23.70844,Tamāra Šembele/Valentīna Maido,,,Mēneša pēdējā otrdiena bibliotēkā ir spodrības diena,,860,23145,
Jelgavas Vakara (maiņu) vidusskolas bibliotēka,"Skolotāju iela 8, Jelgava, LV-3001",56.64768,23.70945,Anita Kalēja,1978,,,Jā,651,8627,
Jelgavas Valsts ģimnāzijas bibliotēka,"Lielā iela 2, Jelgava, LV-3001",56.64427,23.72222,Elizabete Trušule,1922,"Mācību procesa nodrošināšana ar nepieciešamo literatūru.;Bibliotēkas krājuma papildināšana ar jaunāko un aktuālo literatūru u.c. materiāliem.;Mācību procesa nodrošināšana ar foto, fono un audiovizuāliem materiāliem.;Skolēnu un skolotāju apmācība elektroniskā kataloga lietošanā Zinātniski pētnieciskā darba nedēļas laikā un ikdienā.;",,,995,35293,
Jērcēnu pagasta bibliotēka - informācijas centrs,"Jērcēnmuiža, Jērcēni, Jērcēnu pag., Strenču nov., LV-4715",57.69128,25.65043,Ilvija Ķimse,1929,"Jērcēnu pagasta bibliotēkai- informācijas centram ir kultūras, informācijas, izglītības un sociālās, kā arī izklaidējošās funkcijas.","Katra mēneša 1. un 3. trešdiena Ģimenes atbalsta centrā ""Liepugatves"" no plkst.9.00-13.00",,109,5022,Jā
Jersikas pamatskolas bibliotēka ,"Skolas iela 2, Jersika, Jersikas pag., Līvānu nov., LV-5315",56.25414,26.2023,Inese Jaunušāne,1938,,,,120,2515,Jā
Jumpravas internātpamatskolas bibliotēka,"Valdemārskola, Jumpravas pag., Lielvārdes nov., LV-5022",56.70039,25.00168,Benita Lisovska,1882,,,Jā,,3763,
Jura Neikena Dikļu pamatskolas bibliotēka,"Dikļu skola, Dikļi, Dikļu pag., Kocēnu nov., LV-4223",57.5978,25.07327,Liene Šelkovska,1876,"Jura Neikena Dikļu pamatskolas bibliotēka nodrošina skolēnus ar nepieciešamajām mācību grāmatām, iespēju robežās ar nepieciešamo izziņu un daiļliteratūru. Skolas bibliotēkā tiek veidotas tematiskas izstādes, organizētas mācību stundas, veikts darbs lasītprasmes veicināšanai.",,,94,3628,Jā
Juridiskās koledžas bibliotēka,"Kronvalda bulvāris 1A, Rīga, LV-1010",56.95348,24.10399,Anita Rudziša,2001,"Bibliotēka nodrošina bibliotekāros un bibliogrāfiskos pakalpojumus Juridiskās koledžas studentiem, docētājiem un darbiniekiem.",,,615,24463,Jā
Jūrkalnes bibliotēka,"Krasti, Jūrkalne, Jūrkalnes pag., Ventspils nov., LV-3626",57.00748,21.38609,Ligita Kalniņa,1924,"Bibliotēka ir Jūrkalnes pagasta pašvaldības kultūras centrs, kas nodrošina bibliotekāros pakalpojumus un informācijas pieejamību ikvienam pagasta iedzīvotājam un visiem interesentiem, veicina pagasta sabiedrības izaugsmi un piedalās mūžizglītības procesā. Bibliotēka ir vietējās sabiedrības informācijas aprites vieta.",Pusdienas pārtraukums 12:00-12:30 ;Mēneša pēdējā ceturtdiena - slēgts ,Jā,115,4846,Jā
